bin	sign
2819	-1
2824	-1
2838	-1
2846	-1
2851	-1
2858	-1
2861	-1
2868	-1
2871	-1
2875	-1
2881	-1
2884	-1
2888	-1
2897	-1
2903	-1
2909	-1
2918	-1
2921	-1
2924	-1
2927	-1
2935	-1
2941	-1
2944	-1
2948	-1
2952	-1
2955	-1
2958	-1
2962	-1
2965	-1
2969	-1
2977	-1
2981	-1
2985	-1
2988	-1
2991	-1
2997	-1
3000	-1
3004	-1
3009	-1
3016	-1
3022	-1
3028	-1
3034	-1
3039	-1
3043	-1
3052	-1
3055	-1
3060	-1
3069	-1
3076	-1
3081	-1
3085	-1
3089	-1
3094	-1
3109	-1
3112	-1
3116	-1
3123	-1
3127	-1
3131	-1
3146	-1
3164	-1
3168	-1
3171	-1
3174	-1
3178	-1
3181	-1
3184	-1
3187	-1
3198	-1
3204	-1
3210	-1
3216	-1
3219	-1
3222	-1
3226	-1
3231	-1
3234	-1
3239	-1
3245	-1
3248	-1
3261	-1
3270	-1
3274	-1
3278	-1
3281	-1
3285	-1
3288	-1
3294	-1
3307	-1
3310	-1
3314	-1
3317	-1
3320	-1
3323	-1
3328	-1
3335	-1
3338	-1
3341	-1
3344	-1
3347	-1
3350	-1
3354	-1
3358	-1
3362	-1
3365	-1
3370	-1
3373	-1
3377	-1
3380	-1
3383	-1
3386	-1
3389	-1
3392	-1
3397	-1
3406	-1
3411	-1
3414	-1
3420	-1
3424	-1
3432	-1
3436	-1
3440	-1
3443	-1
3447	-1
3450	-1
3453	-1
3468	-1
3472	-1
3479	-1
3487	-1
3490	-1
3493	-1
3498	-1
3501	-1
3511	-1
3514	-1
3519	-1
3523	-1
3527	-1
3531	-1
3537	-1
3540	-1
3549	-1
3554	-1
3557	-1
3560	-1
3563	-1
3566	-1
3574	-1
3578	-1
3587	-1
3591	-1
3595	-1
3604	-1
3607	-1
3610	-1
3613	-1
3617	-1
3621	-1
3628	-1
3631	-1
3636	-1
3639	-1
3646	-1
3650	-1
3655	-1
3661	-1
3664	-1
3667	-1
3674	-1
3687	-1
3698	-1
3702	-1
3708	-1
3711	-1
3718	-1
3722	-1
3725	-1
3728	-1
3731	-1
3735	-1
3739	-1
3745	-1
3751	-1
3754	-1
3757	-1
3772	-1
3778	-1
3782	-1
3786	-1
3789	-1
3799	-1
3803	-1
3806	-1
3809	-1
3812	-1
3826	-1
3830	-1
3836	-1
3839	-1
3842	-1
3845	-1
3850	-1
3856	-1
3859	-1
3862	-1
3866	-1
3871	-1
3875	-1
3879	-1
3882	-1
3903	-1
3909	-1
3920	-1
3924	-1
3945	-1
3949	-1
3954	-1
3957	-1
3962	-1
3965	-1
3969	-1
3975	-1
3978	-1
3986	-1
3989	-1
3993	-1
3997	-1
4000	-1
4006	-1
4017	-1
4027	-1
4032	-1
4038	-1
4048	-1
4053	-1
4058	-1
4066	-1
4070	-1
4074	-1
4085	-1
4088	-1
4091	-1
4095	-1
4098	-1
4107	-1
4110	-1
4114	-1
4118	-1
4124	-1
4129	-1
4132	-1
4136	-1
4139	-1
4142	-1
4146	-1
4149	-1
4152	-1
4156	-1
4160	-1
4163	-1
4167	-1
4172	-1
4176	-1
4180	-1
4185	-1
4189	-1
4194	-1
4203	-1
4214	-1
4217	-1
4222	-1
4228	-1
